id,dancebility,energy,key,loudnes,mode,speech,acoustic,instrument,livenss,valance,tempo,duration,time_signature
127QTOFJsJQp5LbJbu3A1y,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059,4
5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
4VCbgIdr8ptegWeJpqLVHH,0.73,0.576,2,-5.442,1,0.287,0.354,3.59e-05,0.15,0.155,92.131,228461,4
7wsmIIm0xWmtP7TmACXkJn,0.836,0.617,0,-4.363,1,0.0534,0.17,0.0,0.319,0.866,138.066,206702,4
42m3eP1JJhtzffal9B136J,0.724,0.531,5,-4.108,0,0.298,0.225,0.0,0.11,0.141,89.901,239635,4
50ceCGZ3oD3U5caQV5bP6f,0.519,0.851,7,-6.001,1,0.29,0.118,0.0,0.178,0.711,123.823,213104,5
2rFqkDRJlumT7QjljlldlR,0.865,0.53,0,-6.347,0,0.0491,0.511,0.00149,0.0946,0.203,104.948,197973,4
2sqsNXfN0HtgDEgaHXiUTa,0.915,0.588,7,-6.302,0,0.0677,0.0824,0.000169,0.104,0.329,123.936,218710,4
5ry2OE6R2zPQFDO85XkgRb,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,4
2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966,4
6XHVuErjQ4XNm6nDPVCxVX,0.696,0.454,1,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928,260640,4
5ScbulRnixQ2XAdvrPMFjz,0.32,0.466,8,-6.77,1,0.0374,0.00645,0.0,0.133,0.338,177.693,229304,3
1rX5L6pyl3rVWb55D8Cprr,0.502,0.633,1,-5.8,1,0.419,0.00991,0.0,0.389,0.552,83.226,349600,4
6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,180522,4
5mCPDVBb16L4XQwDdbRUpz,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
1zi7xx7UVEFkmKfv06H8x0,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4
3CA9pLiwRIGtUBiMjbZmRw,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,210747,4
2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,217925,4
